Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_23;10;01_TP34_01.vdt
Sample ID	TP34
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 23:10:01
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI
1.05333	13.230	 2.976	74.541	47.502	23.301	35.35875	
1.05667	13.215	 2.976	74.572	47.487	23.316	35.35752	
1.06000	13.230	 2.960	74.572	47.441	23.286	35.35508	
1.06333	13.230	 2.945	74.557	47.441	23.286	35.35569	
1.06667	13.215	 2.945	74.557	47.441	23.331	35.35569	
1.07000	13.199	 2.945	74.541	47.441	23.316	35.35447	
1.07333	13.215	 2.960	74.496	47.441	23.316	35.35203	
1.07667	13.199	 2.960	74.496	47.472	23.331	35.35020	
1.08000	13.199	 2.976	74.526	47.472	23.347	35.35020	
1.08333	13.215	 2.991	74.526	47.487	23.362	35.35142	
1.08667	13.245	 2.976	74.541	47.517	23.377	35.35142	
1.09000	13.245	 2.945	74.572	47.502	23.392	35.34898	
1.09333	13.276	 2.945	74.557	47.502	23.423	35.34959	
1.09667	13.276	 2.930	74.526	47.487	23.453	35.35081	
1.10000	13.276	 2.930	74.526	47.472	23.484	35.35142	
1.10333	13.260	 2.945	74.511	47.456	23.515	35.34898	
1.10667	13.276	 2.976	74.511	47.487	23.499	35.34715	
1.11000	13.276	 2.976	74.496	47.517	23.484	35.34715	
1.11333	13.260	 2.976	74.480	47.517	23.484	35.35081	
1.11667	13.230	 2.960	74.465	47.517	23.453	35.35142	
1.12000	13.245	 2.945	74.465	47.517	23.453	35.35020	
1.12333	13.215	 2.915	74.465	47.502	23.484	35.35142	
1.12667	13.184	 2.915	74.480	47.456	23.515	35.35386	
1.13000	13.184	 2.930	74.526	47.502	23.530	35.35508	
1.13333	13.230	 2.945	74.526	47.502	23.530	35.35569	
1.13667	13.199	 2.945	74.526	47.502	23.545	35.35447	
1.14000	13.199	 2.960	74.511	47.487	23.545	35.35508	
1.14333	13.215	 2.960	74.496	47.502	23.560	35.35752	
1.14667	13.260	 2.960	74.480	47.502	23.591	35.35813	
1.15000	13.245	 2.960	74.480	47.517	23.606	35.35569	
1.15333	13.260	 2.991	74.496	47.502	23.621	35.35447	
1.15667	13.276	 2.991	74.496	47.517	23.652	35.35630	
1.16000	13.291	 2.991	74.526	47.517	23.667	35.35814	
1.16333	13.276	 2.976	74.526	47.487	23.682	35.35752	
1.16667	13.276	 2.976	74.541	47.487	23.698	35.35569	
1.17000	13.260	 2.960	74.526	47.533	23.728	35.35630	
1.17333	13.245	 2.960	74.541	47.533	23.743	35.35752	
1.17667	13.245	 2.960	74.541	47.548	23.789	35.35874	
1.18000	13.230	 2.976	74.526	47.548	23.789	35.35691	
1.18333	13.215	 2.976	74.526	47.563	23.804	35.35630	
1.18667	13.230	 2.976	74.526	47.548	23.820	35.35752	
1.19000	13.215	 2.976	74.526	47.578	23.850	35.36058	
1.19333	13.215	 2.976	74.511	47.563	23.820	35.35997	
1.19667	13.230	 2.976	74.541	47.578	23.835	35.35875	
1.20000	13.230	 2.960	74.541	47.563	23.865	35.35814	
1.20333	13.215	 2.960	74.526	47.548	23.896	35.35997	
1.20667	13.215	 2.960	74.496	47.517	23.927	35.36119	
1.21000	13.199	 2.960	74.511	47.502	23.942	35.36119	
1.21333	13.199	 2.960	74.496	47.487	23.942	35.35997	
1.21667	13.199	 2.976	74.480	47.487	23.957	35.36058	
1.22000	13.230	 2.960	74.496	47.456	23.957	35.36241	
1.22333	13.245	 2.960	74.541	47.487	23.957	35.36241	
1.22667	13.260	 2.945	74.541	47.487	24.003	35.35997	
1.23000	13.260	 2.945	74.541	47.472	24.033	35.35814	
1.23333	13.291	 2.945	74.557	47.456	24.049	35.35936	
1.23667	13.260	 2.945	74.526	47.487	24.079	35.36119	
1.24000	13.276	 2.930	74.496	47.456	24.110	35.35996	
1.24333	13.260	 2.945	74.480	47.441	24.110	35.35752	
1.24667	13.260	 2.930	74.480	47.472	24.125	35.35752	
1.25000	13.230	 2.930	74.480	47.472	24.155	35.35874	
1.25333	13.260	 2.945	74.496	47.472	24.155	35.35935	
1.25667	13.260	 2.945	74.480	47.487	24.140	35.35814	
1.26000	13.276	 2.945	74.496	47.517	24.140	35.35752	
1.26333	13.245	 2.960	74.496	47.533	24.171	35.35814	
